Client,FLOPS(peak),Memory,EffBW
tesla_v100,15.67e12,32e9,16e9
rtx_4080m,24.72e12,12e9,16e9
rtx_3090,35.58e12,24e9,16e9
quadro_p5000,5.304e12,16e9,1.5e9
rtx_3080m,18.98e12,8e9,16e9
adreno_750,4.730e12,24e9,1.5e9
ryzen_9_3950,1.038e12,8e9,16e9
rtx_4090m,32.98e12,16e9,16e9
m2_gpu,3.600e12,24e9,16e9
a17_gpu,2.147e12,8e9,1.5e9
