Client,FLOPS(peak),Memory,EffBW
rx_7600,21.75e12,8e9,16e9
rx_6800,16.17e12,16e9,16e9
arc_a770,19.66e12,16e9,16e9
quadro_p5000,5.304e12,16e9,1.5e9
rtx_3080m,18.98e12,8e9,16e9
rtx_4090m,32.98e12,16e9,16e9
a17_gpu,2.147e12,8e9,1.5e9
gtx_1650m,3.103e12,4e9,16e9
tx2,1.3e12,4e9,1.5e9
p104_101,8.617e12,4e9,16e9
